Image_ID,Title,Director,Cast,Year,Genre,Synopsis,image_url
tt5517762,Nijhum Oronney,Mushfikur Rahman Guljar,"Paran Banerjee, Aritra Dutta Banik, Mridul Bhattacharya, Biswajit Chakraborty",2010,Drama,NA,"https://m.media-amazon.com/images/M/MV5BZDcyZmQwZWYtZTZmYy00YWRmLWI0NDYtNDMyYWE4YWUyZmYxXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UY98_CR0,0,67,98_AL_.jpg"
tt5213252,Dubshatar,Nurul Alam Atique,"Soumitra Chatterjee, Sabyasachi Chakrabarty, Saayoni Ghosh, Indrasish Roy",2010,Drama, The story revolves a complicated relationship between a female social worker and a drug addict.,"https://m.media-amazon.com/images/M/MV5BZmZhMzA4ZWItYzg5MC00YWI2LTk1YmItZTZiNjUzOTcxYjEwXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_UY98_CR34,0,67,98_AL_.jpg"
tt4675414,Handa and Bhonda,Subhankar Chattopadhyay,"Ira Dubey, Zahid Mir, Kali Prasad Mukherjee, Sunil Palwal",2010,"Comedy, Drama", Handa and Bhonda both hate their life and they are looking for a miracle to happen.,"https://m.media-amazon.com/images/M/MV5BNmZmMjg5NzktOTQzOS00MzI4LWJlMmUtNGM1ODU0NDA0NjUzXkEyXkFqcGdeQXVyNzYxNjU1ODQ@._V1_UY98_CR58,0,67,98_AL_.jpg"
tt8302394,Shukno Lanka,Nikhil Allug,"Shahana Goswami, Novera Rahman, Momena Chowdhury, Reekita Nondini Shimu",2010,Family, A young Kashmiri Couple with their two teenage sons travel from Kashmir to Mumbai for a brief stay. Slowly the families interaction in the new surroundings put their relations to test leading to unexpected consequences and revelations.,"https://m.media-amazon.com/images/M/MV5BOThhODE4YWItNTRlZS00NmZlLWEzMWItOTE5ZjEyN2NjMGQwXkEyXkFqcGdeQXVyMjU2MDYyMDc@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt8147262,Shehjar,Rubaiyat Hossain,"Nusrat Imrose Tisha, Siam Ahmed, Yashpal Sharma, Afroza Banu",2019,"Adventure, Drama, Mystery"," Shimu fled her village as a child when her stepmother threatened to marry her off to a middle-aged man. Now 23 and living in the capital, she works grueling hours for paltry sums at a textile factory while her husband searches for work.","https://m.media-amazon.com/images/M/MV5BMTU5M2RkZTUtNzAwNy00NDBhLThiYjktY2EyNGE0MDhhNjk0XkEyXkFqcGdeQXVyNjE4OTQ3NTU@._V1_UY98_CR1,0,67,98_AL_.jpg"
tt8072666,Made in Bangladesh,Tauquir Ahmed,"Sakib Sonet, Shakib Khan, Eamin Haque Bobby, Mousumi, Sunny Omar",2019,Drama, The film is about the language movement during 1952 in East Pakistan.,"https://m.media-amazon.com/images/M/MV5BMTRhNTQyNGUtYTdiNC00YjRiLWJkZDYtOWFlZTJiMWI1MWM5XkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt8033682,Fagun Haway,Mayeen Uddin Rehman,"Soumitra Chatterjee, Aparna Sen, Rituparna Sengupta, Saswata Chatterjee",2019,"Drama, Family, History"," This Movie Full Of Romance, Action And Drama. In And As Shakib Khan, Bobby. This Movie About Love And Action. You Guys Will Be Happy When You Watch This Movie In Theaters.","https://m.media-amazon.com/images/M/MV5BZGRkM2MzMTItNGQ5ZS00MWE1LTg4ZjktYzU5OGQwZGYzNzBmXkEyXkFqcGdeQXVyMjQwODkxNzg@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt7994100,Nolok,Suman Ghosh,"Srabanti Chatterjee, Hani Yadav, Tahsan, Taskeen Rahman",2019,"Action, Comedy, Drama", Legendary figures of Indian cinema Aparna Sen and Soumitra Chatterjee head up the ensemble cast of this bittersweet tale of family ties and disillusionment. An elderly couple is celebrating...                See full summary » ,"https://m.media-amazon.com/images/M/MV5BOGVmOTE1MWQtMzBlZC00Yjc0LWFjMGQtODZmNWM2M2YxZjUzXkEyXkFqcGdeQXVyMzQ5MzkwMDY@._V1_UY98_CR3,0,67,98_AL_.jpg"
tt7817568,Basu Poribar,Muhammad Mostafa Kamal Raz,"Nassar, Raima Sen, Subrat Dutta, Fazlur Rahman Babu",2019,Drama," Faisal lives happily with his daughter and his mother as a single father. He is very serious about work when it is time, and his whole life is based on his daughter. However, when a new ...                See full summary » ","https://m.media-amazon.com/images/M/MV5BYzk5MjcyMDUtN2NmMi00ZDIxLTk3YTMtNWM1MzRmZDgxODIzXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
tt7654668,Jodi Akdin,Ashish Ray,"Roshni Sen, Joyraj Bhattacharya, Bidyut Das, Soumyajit Majumdar, Debleena Sen",2019,Romance,NA,"https://m.media-amazon.com/images/M/MV5BYmY2ZmVmY2UtYzFhMy00MmU0LTk1YzUtNGI3NTk0OGRlMDAwXkEyXkFqcGdeQXVyMTI5NDIzODM@._V1_UY98_CR32,0,67,98_AL_.jpg"
tt7501424,Sitara,Aniket Dutta,"Priyanka Sarkar, Rajesh Sharma, Saayoni Ghosh, Soumitra Chatterjee",2019,Drama, Strange incidents occur in the heart of shonajhuri forest in rural bengal (the backdrop for both stories) which develops an ominous character of its own that allures and finally engulfs our protagonists.,"https://m.media-amazon.com/images/M/MV5BZDk0ZTVlY2YtYTY3Ny00NzE5LWFmNTktZGQ0NDZhNzA1ZDJlXkEyXkFqcGdeQXVyMTE4NDc3MjAy._V1_UX67_CR0,0,67,98_AL_.jpg"
tt7379826,Ghost of the Golden Groves,Arnab k Middya,NA,2019,"Fantasy, Horror, Sci-Fi", Andarkahini is a saga of womanhood in the correlative context of human relationships and complex society.,"https://m.media-amazon.com/images/M/MV5BYzJjYTE3NzAtN2I2Mi00MDkyLWJmN2ItOTgyMTc3ZWMyM2UxXkEyXkFqcGdeQXVyNzA4NjEwMDE@._V1_UY98_CR40,0,67,98_AL_.jpg"
